Order ID,Order Date,Region,State,City,Channel,Segment,Category,Product,Units,Unit Price,Revenue,Cost,Profit
SO-2506-10000,06/03/2025,Midwest,OH,Columbus,Online,Consumer,Technology,Mouse,2,$17.43,$34.86,$23.21,$11.65
SO-2408-10001,2024-08-16,South,TN,Nashville, Partner ,Small Business,Technology,Mouse,4,$18.43,$73.72,$45.02,$28.70
SO-2404-10002,04/30/2024,South,TN,Nashville,Partner,Corporate,Office Supplies,PENS,4,,$15.52,$10.53,$4.99
SO-2407-10003,07/29/2024,Northeast,NY,New York,In-Store,Small Business, Furniture ,Standing Desk,1,$288.51,$288.51,$170.26,$118.25
SO-2403-10004,03/24/2024,West,AZ,Phoenix,Partner,Corporate,Technology,Laptop Stand,4,$28.74,$114.96,$72.70,$42.26
SO-2412-10005,"Dec 16, 2024",West,AZ,Phoenix,Online,Corporate,Furniture,Filing Cabinet,5,$149.81,$749.05,$487.69,$261.36
SO-2512-10006,"Dec 12, 2025",West,CA,Los Angeles,In-Store,Small Business,Furniture,Desk Chair,4,$140.31,$561.24,$355.45,$205.79
SO-2512-10007,12/19/2025,West,CO,Denver,In-Store,Small Business,Office Supplies,Paper,3,$7.92,$23.76,$14.76,$9.00
SO-2509-10008,09/17/2025,West,AZ,Phoenix,Online, Corporate ,Furniture,Filing Cabinet,4,$178.57,$714.28,$457.45,$256.83
SO-2406-10009,06/19/2024,South,AL,Birmingham,In-Store,Corporate,Technology, Keyboard ,3,$42.85,$128.55,$98.34,$30.21
SO-2408-10010,08/24/2024,Midwest,OH,Columbus,Online,Consumer, Technology ,Monitor,4,$191.13,$764.52,$552.66,$211.86
SO-2405-10011,"May 29, 2024",Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Pens,4,$3.83,$15.32,$10.34,$4.98
SO-2507-10012,07/26/2025,Midwest,MI,Detroit,In-Store,Corporate,Office Supplies,Paper,1,$6.90,$6.90,$4.70,$2.20
SO-2406-10013,06/15/2024,West,CO,Denver,Online,Corporate,Office Supplies, Stapler ,2,$13.51,$27.02,$15.11,$11.91
SO-2407-10014,"Jul 31, 2024",South,GA,Atlanta,Partner,Corporate,Office Supplies,Pens,3,$4.54,$13.62,$9.43,$4.19
SO-2505-10015,"May 06, 2025",Northeast,PA,Philadelphia,In-Store,Corporate,Technology,MONITOR,2,$178.59,$357.18,$245.69,$111.49
SO-2407-10016,2024-07-29,South,AL,Birmingham,Partner,Corporate,Office Supplies,Binders,5,$10.71,$53.55,$33.30,$20.25
SO-2501-10017,01/10/2025,Northeast,NY,New York,Online,Corporate,Furniture,Bookshelf,4,$102.91,$411.64,$257.02,$154.62
SO-2409-10018,2024-09-02,Northeast,PA,Philadelphia,In-Store,Small Business,Furniture,Standing Desk,2,$310.18,$620.36,$380.39,$239.97
SO-2409-10019,09/22/2024,Northeast,MA,Boston,ONLINE,Small Business,Furniture,Filing Cabinet,2,$153.06,$306.12,$192.09,$114.03
SO-2407-10020,07/20/2024,Midwest,MN,Minneapolis, In-Store ,Consumer,Furniture,Bookshelf,9,$102.27,$920.43,$569.34,$351.09
SO-2512-10021,"Dec 29, 2025",West,CA,Los Angeles,Online,Corporate,Technology,Monitor,5,$196.17,$980.85,$705.14,$275.71
SO-2403-10022,"Mar 27, 2024",Northeast,NJ,Newark,Partner,Consumer,Furniture,Bookshelf,1,$78.83,$78.83,$51.93,$26.90
SO-2509-10023,2025-09-02,Northeast,MA,Boston, In-Store ,SMALL BUSINESS,Office Supplies,Pens,5,$4.61,$23.05,$14.29,$8.76
SO-2405-10024,2024-05-22,Midwest,OH,Columbus,In-Store,Consumer,Furniture,Standing Desk,1,$256.92,$256.92,$153.50,$103.42
SO-2503-10025,2025-03-05,Northeast,NY,New York,Online,Consumer,Technology,Keyboard,2,$37.51,$75.02,$52.93,$22.09
SO-2506-10026,"Jun 06, 2025",Midwest,MN,Minneapolis,Online,,FURNITURE,Filing Cabinet,4,$175.69,$702.76,$425.74,$277.02
SO-2511-10027,11/29/2025,Northeast,NY,New York,Partner,Small Business,Office Supplies,Pens,2,$4.01,$8.02,$5.16,$2.86
SO-2507-10028,07/29/2025,West,CA,Los Angeles,Online,,Furniture,Desk Chair,2,$120.18,$240.36,$160.15,$80.21
SO-2409-10029,09/10/2024, West ,AZ,Phoenix,Partner,Small Business,Furniture,Standing Desk,2,$317.34,$634.68,$419.69,$214.99
SO-2503-10030,2025-03-14,Midwest,OH,Columbus,Online,Consumer,Technology,Keyboard,4,$38.99,$155.96,$102.45,$53.51
SO-2404-10031,04/06/2024,MIDWEST,IL,Chicago,In-Store,Corporate,Office Supplies,Binders,5,$8.92,$44.60,$30.44,$14.16
SO-2404-10032,"Apr 04, 2024", Northeast ,MA,,Partner,Corporate,Office Supplies,Stapler,3,$14.92,$44.76,$27.33,$17.43
SO-2506-10033,"Jun 08, 2025",South,FL,Miami,Online,Consumer,Furniture,Filing Cabinet,1,$157.13,$157.13,$107.80,$49.33
SO-2503-10034,2025-03-08,Northeast,NY,New York,Partner,Corporate,Office Supplies,Binders,2,$9.31,$18.62,$12.77,$5.85
SO-2503-10035,03/11/2025,West,WA,Seattle, Online ,Corporate,Furniture, Filing Cabinet ,1,$169.61,$169.61,$118.22,$51.39
SO-2401-10036,"Jan 12, 2024",South,GA,Atlanta,In-Store, Small Business ,Technology,Mouse,1,$20.64,$20.64,$13.37,$7.27
SO-2409-10037,"Sep 25, 2024",West,AZ,Phoenix,Online,Consumer,Furniture,Standing Desk,1,$258.88,$258.88,$192.81,$66.07
SO-2410-10038,2024-10-04,Northeast,PA,,In-Store,Consumer,Furniture,Bookshelf,3,,$272.49,$189.18,$83.31
SO-2504-10039,2025-04-02,Midwest,IL,Chicago,Online,Small Business,Office Supplies,Paper,4,$7.48,$29.92,$18.93,$10.99
SO-2407-10040,2024-07-22,West,CO,Denver,Partner,Small Business,Furniture,Filing Cabinet,1,$182.56,$182.56,$113.01,$69.55
SO-2503-10041,2025-03-17,Northeast,NJ,Newark,Online,Consumer,Technology,Mouse,7,$22.01,$154.07,$109.79,$44.28
SO-2410-10042,10/02/2024,South,TN,Nashville,In-Store,Consumer,Furniture,Bookshelf,2,$92.66,$185.32,$113.33,$71.99
SO-2401-10043,"Jan 02, 2024",Midwest,MI,Detroit, In-Store ,Corporate, Technology ,Monitor,1,$166.19,$166.19,$108.97,$57.22
SO-2405-10044,"May 27, 2024",South,TN,Nashville,In-Store,Small Business,Technology,Keyboard,1,$36.97,$36.97,$22.79,$14.18
SO-2406-10045,2024-06-07,South,TN,Nashville,Partner,Small Business,Office Supplies,Binders,2,$9.40,$18.80,$11.00,$7.80
SO-2506-10046,2025-06-09,West,AZ,Phoenix,Partner,Corporate,Furniture,Filing Cabinet,4,$143.17,$572.68,$336.42,$236.26
SO-2501-10047,01/20/2025,Northeast,NY,New York,In-Store,Small Business,Furniture,Standing Desk,2,$262.65,$525.30,$390.36,$134.94
SO-2505-10048,"May 30, 2025", South ,GA,Atlanta,Partner,Consumer,Furniture,Standing Desk,3,,$897.09,$634.43,$262.66
SO-2510-10049,10/27/2025,SOUTH,TN,Nashville, In-Store ,Corporate,Technology,Mouse,2,$22.07,$44.14,$32.49,$11.65
SO-2405-10050,2024-05-30,West,CA,Los Angeles,In-Store,Corporate, Technology ,Monitor,3,$194.41,$583.23,$417.42,$165.81
SO-2511-10051,"Nov 22, 2025", Midwest ,OH,Columbus,In-Store, Corporate ,Office Supplies,Stapler,3,$11.28,$33.84,$19.98,$13.86
SO-2403-10052,03/28/2024,Midwest,MN,Minneapolis,IN-STORE,,Technology,Laptop Stand,6,$32.39,$194.34,$135.81,$58.53
SO-2403-10053,2024-03-17,Midwest,MN,Minneapolis,Partner,Consumer,OFFICE SUPPLIES,Stapler,4,$14.91,$59.64,$36.26,$23.38
SO-2501-10054,2025-01-08,NORTHEAST,PA,Philadelphia,ONLINE,,Technology,Keyboard,1,$41.23,$41.23,$26.81,$14.42
SO-2405-10055,"May 24, 2024",West,CO,Denver,In-Store,Corporate,Office Supplies,Pens,5,$3.82,$19.10,$11.91,$7.19
SO-2407-10056,07/19/2024,WEST,AZ,Phoenix,Partner,CONSUMER,Office Supplies,Binders,2,$8.50,$17.00,$11.26,$5.74
SO-2503-10057,2025-03-14,MIDWEST,MI,Detroit,In-Store,Consumer,TECHNOLOGY,Mouse,3,$19.35,$58.05,$40.99,$17.06
SO-2411-10058,"Nov 19, 2024",Midwest,IL,Chicago,Online,Corporate,Office Supplies,Binders,5,,$51.95,$29.73,$22.22
SO-2402-10059,"Feb 20, 2024",West,CA,Los Angeles,Partner,Corporate,FURNITURE,Filing Cabinet,4,$179.83,$719.32,$505.20,$214.12
SO-2502-10060,02/28/2025,West,WA,Seattle,In-Store,Corporate,Furniture,Bookshelf,5,$89.60,$448.00,$272.85,$175.15
SO-2405-10061,05/02/2024,Midwest,MI,Detroit,Online,Small Business,Furniture,Bookshelf,4,$87.46,$349.84,$242.69,$107.15
SO-2503-10062,03/13/2025,Northeast,NY,New York,Online,Small Business,Office Supplies,Stapler,2,$13.19,$26.38,$16.30,$10.08
SO-2508-10063,2025-08-06,Northeast,MA,Boston,Online,Consumer,Office Supplies,Pens,1,,$4.28,$2.41,$1.87
SO-2501-10064,"Jan 03, 2025",West,CO,Denver,Online, Small Business , Technology ,KEYBOARD,6,$38.51,$231.06,$141.22,$89.84
SO-2401-10065,01/23/2024,Northeast,NY,New York,ONLINE, Consumer ,Technology,Keyboard,1,$38.61,$38.61,$26.17,$12.44
SO-2504-10066,04/24/2025,West,CO,Denver,In-Store,Consumer,FURNITURE,Filing Cabinet,3,$136.00,$408.00,$293.90,$114.10
SO-2510-10067,2025-10-24,South,AL,Birmingham,In-Store,Consumer,OFFICE SUPPLIES,Pens,3,$4.52,$13.56,$8.85,$4.71
SO-2510-10068,2025-10-03,South,GA,Atlanta,In-Store,Small Business,Office Supplies,PENS,3,$4.58,$13.74,$7.63,$6.11
SO-2509-10069,09/07/2025,West,CA,Los Angeles,Online,Consumer,Office Supplies,PAPER,2,$6.57,$13.14,$9.09,$4.05
SO-2409-10070,"Sep 09, 2024",Midwest,MN,Minneapolis,Online,Corporate,Technology,Monitor,4,$187.80,$751.20,$514.99,$236.21
SO-2511-10071,"Nov 14, 2025",Midwest,IL,Chicago,In-Store,Corporate, Office Supplies ,PENS,4,$4.49,$17.96,$11.70,$6.26
SO-2410-10072,"Oct 26, 2024",Northeast,NJ,Newark,Partner,Small Business,Office Supplies,Binders,1,$10.64,$10.64,$6.43,$4.21
SO-2410-10073,"Oct 29, 2024",South,AL,Birmingham,Online,Small Business,Technology,Keyboard,1,$37.73,$37.73,$24.21,$13.52
SO-2502-10074,"Feb 06, 2025",West,WA,Seattle,Online,,Office Supplies,Stapler,1,$12.67,$12.67,$8.23,$4.44
SO-2411-10075,11/17/2024,South,AL,Birmingham,Partner,Consumer,Technology,Mouse,2,$21.25,$42.50,$28.94,$13.56
SO-2511-10076,"Nov 11, 2025",South,AL,Birmingham,Partner,Corporate,Technology,Keyboard,1,$36.22,$36.22,$26.60,$9.62
SO-2405-10077,"May 06, 2024",Midwest,MI,Detroit,Partner,Consumer,Technology,Keyboard,3,$35.30,$105.90,$65.08,$40.82
SO-2504-10078,2025-04-02,West,AZ,Phoenix,ONLINE,Corporate,Technology,Laptop Stand,1,$26.28,$26.28,$16.69,$9.59
SO-2504-10079,"Apr 20, 2025",Midwest,MN,Minneapolis,ONLINE,Consumer,Office Supplies,Stapler,5,$12.01,$60.05,$38.66,$21.39
SO-2509-10080,09/23/2025,Midwest,OH,Columbus,Online,Corporate,Furniture,Desk Chair,4,$145.53,$582.12,$432.40,$149.72
SO-2403-10081,"Mar 07, 2024",Midwest,MI,Detroit,Online,Consumer,Technology,Mouse,4,$21.32,$85.28,$63.54,$21.74
SO-2505-10082,2025-05-20,South,TN,Nashville,Online,Corporate,Furniture,Filing Cabinet,3,$181.78,$545.34,$356.16,$189.18
SO-2411-10083,11/23/2024,Northeast,NY,,In-Store,Corporate,Furniture,Bookshelf,1,$98.70,$98.70,$62.75,$35.95
SO-2411-10084,"Nov 29, 2024",South,AL,Birmingham,Online,Corporate,Technology,Keyboard,4,$36.96,$147.84,$89.61,$58.23
SO-2406-10085,"Jun 26, 2024",South,GA,Atlanta,Online,Consumer,Technology,Mouse,1,$18.24,$18.24,$14.19,$4.05
SO-2410-10086,"Oct 27, 2024",West,CO,Denver,In-Store,Corporate,Furniture, Standing Desk ,1,$322.31,$322.31,$193.58,$128.73
SO-2508-10087,2025-08-15,Midwest,MI,Detroit,Online,Corporate,Technology,MONITOR,1,$163.75,$163.75,$105.48,$58.27
SO-2402-10088,2024-02-07,South,TN,Nashville,Online,Consumer,Technology,Keyboard,2,$40.08,$80.16,$59.76,$20.40
SO-2508-10089,"Aug 20, 2025",West,WA,Seattle,Online,CONSUMER,Technology,Monitor,4,$155.17,$620.68,$385.73,$234.95
SO-2512-10090,2025-12-27,Midwest,OH,Columbus,PARTNER,Corporate,Technology,Monitor,4,$194.84,$779.36,$468.51,$310.85
SO-2510-10091,10/29/2025,Northeast,NY,,Online,Consumer,Technology,MONITOR,1,$160.63,$160.63,$103.75,$56.88
SO-2507-10092,07/15/2025,Midwest,MN,Minneapolis, In-Store ,Consumer,FURNITURE,BOOKSHELF,3,$81.49,$244.47,$174.84,$69.63
SO-2502-10093,"Feb 23, 2025",West,CA,Los Angeles,In-Store,Small Business,TECHNOLOGY,Keyboard,4,$41.66,$166.64,$104.89,$61.75
SO-2501-10094,2025-01-07,Midwest,MN,Minneapolis,Partner,Consumer,Office Supplies,Binders,5,$10.73,$53.65,$36.62,$17.03
SO-2508-10095,"Aug 14, 2025",West,CO,Denver,In-Store, Corporate ,Office Supplies,Paper,2,$6.85,$13.70,$7.86,$5.84
SO-2509-10096,2025-09-29,Northeast,MA,Boston,In-Store,Small Business,Office Supplies,Paper,2,$7.10,$14.20,$9.17,$5.03
SO-2407-10097,"Jul 21, 2024",Northeast,MA,Boston,In-Store,Consumer,Technology,Monitor,1,$161.73,$161.73,$98.99,$62.74
SO-2512-10098,"Dec 05, 2025",South,TN,Nashville,Online,Small Business,Technology,Mouse,4,$20.64,$82.56,$50.82,$31.74
SO-2506-10099,"Jun 14, 2025",Northeast,NJ,Newark, Online ,Corporate,Furniture,Standing Desk,5,$329.62,"$1,648.10","$1,067.90",$580.20
SO-2511-10100,"Nov 19, 2025",Midwest,IL,,Online,Small Business, Office Supplies ,PENS,6,$5.12,$30.72,$20.65,$10.07
SO-2508-10101,08/19/2025,Midwest,IL,Chicago,Online,Corporate,TECHNOLOGY,LAPTOP STAND,4,$30.44,$121.76,$79.77,$41.99
SO-2504-10102,2025-04-02,West,AZ,Phoenix,Partner,Corporate,Technology,Laptop Stand,4,$27.10,$108.40,$84.28,$24.12
SO-2505-10103,2025-05-31,Northeast,NJ,Newark,Partner,Small Business,Technology,Mouse,3,$17.39,$52.17,$34.73,$17.44
SO-2402-10104,"Feb 25, 2024", South ,GA,Atlanta,Partner,CORPORATE,Furniture,Standing Desk,4,$262.39,"$1,049.56",$700.01,$349.55
SO-2406-10105,06/18/2024,Northeast,NY,New York,Partner,Small Business,Office Supplies,Paper,4,$6.35,$25.40,$17.71,$7.69
SO-2405-10106,"May 27, 2024",Northeast,NY,New York,In-Store,Small Business,TECHNOLOGY,MONITOR,3,$161.56,$484.68,$314.80,$169.88
SO-2502-10107,02/17/2025,West,WA,Seattle,Online,Small Business, Furniture ,Bookshelf,6,$93.12,$558.72,$342.95,$215.77
SO-2501-10108,"Jan 03, 2025",Midwest,MI,Detroit,In-Store,Small Business,Technology,Keyboard,3,$43.49,$130.47,$96.32,$34.15
SO-2405-10109,"May 29, 2024",South,FL,Miami,In-Store,Corporate,Furniture,Filing Cabinet,6,$171.41,"$1,028.46",$661.01,$367.45
SO-2411-10110,"Nov 13, 2024",South,TN,Nashville,Partner,Small Business,Office Supplies,Pens,2,$4.65,$9.30,$6.45,$2.85
SO-2501-10111,"Jan 07, 2025",Midwest,IL,Chicago,Online,Consumer,Furniture,Desk Chair,5,$119.13,$595.65,$387.77,$207.88
SO-2412-10112,12/31/2024,West,WA,Seattle,PARTNER,Consumer,Furniture,Desk Chair,3,$111.36,$334.08,$199.81,$134.27
SO-2409-10113,"Sep 06, 2024",WEST,AZ,Phoenix,Partner,Consumer, Furniture ,Standing Desk,2,$273.37,$546.74,$329.63,$217.11
SO-2401-10114,"Jan 12, 2024",West,CA,Los Angeles,Online,Small Business,Office Supplies,Pens,5,$4.99,$24.95,$16.65,$8.30
SO-2502-10115,02/19/2025, Midwest ,MN,Minneapolis,Online,Consumer,Furniture,Filing Cabinet,5,$147.92,$739.60,$495.80,$243.80
SO-2506-10116,2025-06-14,Northeast,NY,New York,Partner,Small Business,Office Supplies,Paper,2,$7.23,$14.46,$9.38,$5.08
SO-2505-10117,"May 04, 2025",West,WA,Seattle,Partner,Small Business,Furniture,Bookshelf,1,$78.21,$78.21,$54.99,$23.22
SO-2409-10118,09/24/2024,South,TN,Nashville,Online,Small Business,Technology,Laptop Stand,4,$26.22,$104.88,$66.24,$38.64
SO-2506-10119,"Jun 19, 2025", South ,GA,Atlanta,In-Store,Corporate,Technology,Monitor,1,$191.42,$191.42,$133.93,$57.49
SO-2406-10120,06/12/2024,NORTHEAST,NY,New York,Partner,Corporate, Furniture ,Desk Chair,1,$117.11,$117.11,$71.96,$45.15
SO-2507-10121,07/03/2025,Northeast,NJ,Newark,In-Store,CORPORATE,Technology,Keyboard,3,$38.54,$115.62,$88.55,$27.07
SO-2403-10122,"Mar 20, 2024",South,GA,Atlanta,Partner,,Technology,Keyboard,4,$40.83,$163.32,$104.22,$59.10
SO-2401-10123,2024-01-30,Northeast,NY,New York,Online,Consumer,Office Supplies,Paper,4,$6.17,$24.68,$17.01,$7.67
SO-2506-10124,2025-06-30,Northeast,NY,New York,Partner,Consumer,Furniture,Desk Chair,3,$139.22,$417.66,$268.05,$149.61
SO-2510-10125,2025-10-11,West,CA,Los Angeles,Online, Small Business ,Office Supplies,Pens,4,,$16.36,$9.08,$7.28
SO-2503-10126,03/09/2025,Midwest,MN,Minneapolis,In-Store,Consumer,Office Supplies,Pens,1,$3.95,$3.95,$2.62,$1.33
SO-2505-10127,05/30/2025,Midwest,MI,Detroit,In-Store,Corporate,Technology,Mouse,2,$21.28,$42.56,$27.99,$14.57
SO-2508-10128,08/02/2025,South,TN,Nashville,Online,Small Business, Office Supplies ,Stapler,2,$13.06,$26.12,$14.75,$11.37
SO-2401-10129,2024-01-05,South,FL,Miami,In-Store,Corporate,Office Supplies,Stapler,6,$11.05,$66.30,$38.47,$27.83
SO-2508-10130,08/14/2025,South,TN,Nashville,Online,Corporate, Furniture ,Standing Desk,1,$342.03,$342.03,$228.33,$113.70
SO-2512-10131,"Dec 14, 2025",Northeast,MA,Boston,Partner,CONSUMER, Technology ,Keyboard,2,$35.31,$70.62,$43.40,$27.22
SO-2510-10132,2025-10-23,Midwest,MI,Detroit,Online,Corporate,Office Supplies,Stapler,8,,$117.28,$80.19,$37.09
SO-2408-10133,2024-08-27,Northeast,PA,Philadelphia,In-Store,Consumer,Technology,Laptop Stand,2,$33.60,$67.20,$44.91,$22.29
SO-2411-10134,"Nov 27, 2024",South,FL,Miami,Online,Corporate,Furniture,Bookshelf,1,$90.58,$90.58,$61.06,$29.52
SO-2407-10135,07/15/2024,West,AZ,Phoenix,In-Store,Corporate,FURNITURE,Standing Desk,4,$266.34,"$1,065.36",$661.00,$404.36
SO-2409-10136,2024-09-21,Northeast,MA,Boston,Partner,Consumer,Office Supplies,Binders,2,$10.30,$20.60,$12.41,$8.19
SO-2410-10137,10/07/2024, Northeast ,NY,New York,Online,Consumer,Office Supplies,Stapler,3,$11.63,$34.89,$19.97,$14.92
SO-2408-10138,08/15/2024,South,FL,Miami,Partner,Small Business,Office Supplies,Stapler,1,$12.85,$12.85,$7.09,$5.76
SO-2503-10139,2025-03-16,MIDWEST,MN,Minneapolis,Partner,Small Business,Office Supplies,Pens,1,$4.16,$4.16,$2.75,$1.41
SO-2510-10140,10/05/2025,West,WA,Seattle,Partner,Consumer,Furniture,Standing Desk,3,$316.15,$948.45,$600.57,$347.88
SO-2502-10141,2025-02-23,West,WA,,Partner,Small Business,Technology,Keyboard,1,$36.99,$36.99,$25.22,$11.77
SO-2408-10142,"Aug 11, 2024",Northeast,PA,Philadelphia,ONLINE,Small Business,Office Supplies,Stapler,1,$14.28,$14.28,$9.80,$4.48
SO-2501-10143,"Jan 13, 2025",Northeast,PA,Philadelphia,Partner,Corporate,Office Supplies,Stapler,1,$13.15,$13.15,$8.65,$4.50
SO-2412-10144,12/30/2024,West,CO,Denver,Partner,Consumer,Office Supplies,Pens,3,$4.35,$13.05,$8.67,$4.38
SO-2511-10145,2025-11-22,Midwest,MI,Detroit, In-Store ,Small Business,Technology,Laptop Stand,2,$26.04,$52.08,$39.83,$12.25
SO-2502-10146,02/05/2025,Midwest,IL,Chicago,In-Store, Consumer ,Office Supplies,Binders,2,$10.71,$21.42,$14.80,$6.62
SO-2412-10147,"Dec 27, 2024", Northeast ,MA,Boston,Partner,Small Business,Office Supplies,Pens,1,$4.45,$4.45,$2.82,$1.63
SO-2512-10148,2025-12-22,WEST,CO,Denver,In-Store,SMALL BUSINESS,Technology,Keyboard,4,$43.35,$173.40,$128.50,$44.90
SO-2511-10149,2025-11-01,Midwest,MN,Minneapolis,In-Store,Corporate,Furniture,Standing Desk,4,$298.33,"$1,193.32",$764.75,$428.57
SO-2402-10150,02/28/2024, West ,CO,,Online,Small Business,Technology,Mouse,4,$20.95,$83.80,$64.29,$19.51
SO-2511-10151,"Nov 02, 2025", Midwest ,OH,Columbus,In-Store,Corporate,Furniture,Bookshelf,5,$93.58,$467.90,$347.09,$120.81
SO-2507-10152,2025-07-01,South,AL,Birmingham, Online ,Small Business,Office Supplies,Pens,3,$4.86,$14.58,$8.78,$5.80
SO-2404-10153,04/29/2024,South,FL,Miami,Partner,Consumer, Office Supplies ,Stapler,1,$13.74,$13.74,$8.65,$5.09
SO-2512-10154,12/18/2025,Midwest,MN,Minneapolis,In-Store,Consumer,Office Supplies,Pens,3,$4.45,$13.35,$8.46,$4.89
SO-2410-10155,10/30/2024,WEST,WA,Seattle,In-Store,Corporate,FURNITURE,Desk Chair,3,$116.74,$350.22,$232.75,$117.47
SO-2402-10156,2024-02-16,West,CO,Denver,Partner,Small Business,Furniture,Desk Chair,3,$117.53,$352.59,$205.73,$146.86
SO-2510-10157,10/02/2025,Midwest,IL,Chicago,Online,Corporate,Furniture,Filing Cabinet,2,$159.25,$318.50,$223.62,$94.88
SO-2412-10158,"Dec 16, 2024",South,FL,Miami,In-Store, Corporate ,Technology,Laptop Stand,2,,$65.00,$49.67,$15.33
SO-2506-10159,06/02/2025,South,FL,Miami,In-Store,Consumer,Technology,Monitor,1,$197.69,$197.69,$136.54,$61.15
SO-2402-10160,"Feb 11, 2024",West,CA,Los Angeles, In-Store ,Small Business,Technology,Keyboard,4,$37.80,$151.20,$106.68,$44.52
SO-2511-10161,11/04/2025, West ,CA,Los Angeles,Online,SMALL BUSINESS,Technology,Monitor,3,$158.85,$476.55,$356.44,$120.11
